Fecha,Turno,Posicion,Numero
21/06/2024,Nocturna,12,158
21/06/2024,Nocturna,13,519
21/06/2024,Nocturna,14,993
21/06/2024,Nocturna,15,196
21/06/2024,Nocturna,16,514
21/06/2024,Nocturna,17,205
21/06/2024,Nocturna,18,847
21/06/2024,Nocturna,19,298
21/06/2024,Nocturna,20,038
21/06/2024,Vespertina,01,265
21/06/2024,Vespertina,02,411
21/06/2024,Vespertina,03,099
21/06/2024,Vespertina,04,398
21/06/2024,Vespertina,05,030
21/06/2024,Vespertina,06,205
21/06/2024,Vespertina,07,371
21/06/2024,Vespertina,08,738
21/06/2024,Vespertina,09,262
21/06/2024,Vespertina,10,072
21/06/2024,Vespertina,11,103
21/06/2024,Vespertina,12,099
21/06/2024,Vespertina,13,558
21/06/2024,Vespertina,14,555
21/06/2024,Vespertina,15,941
21/06/2024,Vespertina,16,250
21/06/2024,Vespertina,17,014
21/06/2024,Vespertina,18,247
21/06/2024,Vespertina,19,827
21/06/2024,Vespertina,20,915
20/06/2024,Nocturna,01,777
20/06/2024,Nocturna,02,310
20/06/2024,Nocturna,03,731
20/06/2024,Nocturna,04,938
20/06/2024,Nocturna,05,734
20/06/2024,Nocturna,06,076
20/06/2024,Nocturna,07,252
20/06/2024,Nocturna,08,242
20/06/2024,Nocturna,09,769
20/06/2024,Nocturna,10,965
20/06/2024,Nocturna,11,594
20/06/2024,Nocturna,12,828
20/06/2024,Nocturna,13,337
20/06/2024,Nocturna,14,022
20/06/2024,Nocturna,15,336
20/06/2024,Nocturna,16,738
20/06/2024,Nocturna,17,729
20/06/2024,Nocturna,18,629
20/06/2024,Nocturna,19,715
20/06/2024,Nocturna,20,930
20/06/2024,Vespertina,01,460
20/06/2024,Vespertina,02,430
20/06/2024,Vespertina,03,261
20/06/2024,Vespertina,04,421
20/06/2024,Vespertina,05,087
20/06/2024,Vespertina,06,188
20/06/2024,Vespertina,07,754
20/06/2024,Vespertina,08,281
20/06/2024,Vespertina,09,209
20/06/2024,Vespertina,10,727
20/06/2024,Vespertina,11,345
20/06/2024,Vespertina,12,556
20/06/2024,Vespertina,13,461
20/06/2024,Vespertina,14,707
20/06/2024,Vespertina,15,447
20/06/2024,Vespertina,16,633
20/06/2024,Vespertina,17,748
20/06/2024,Vespertina,18,037
20/06/2024,Vespertina,19,216
20/06/2024,Vespertina,20,387
18/06/2024,Nocturna,01,921
18/06/2024,Nocturna,02,627
18/06/2024,Nocturna,03,402
18/06/2024,Nocturna,04,078
18/06/2024,Nocturna,05,684
18/06/2024,Nocturna,06,480
18/06/2024,Nocturna,07,225
18/06/2024,Nocturna,08,988
18/06/2024,Nocturna,09,889
18/06/2024,Nocturna,10,856
18/06/2024,Nocturna,11,014
18/06/2024,Nocturna,12,990
18/06/2024,Nocturna,13,069
18/06/2024,Nocturna,14,853
18/06/2024,Nocturna,15,767
18/06/2024,Nocturna,16,361
18/06/2024,Nocturna,17,243
